"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 27","418.76","407.99","419.40","404.48","44.82M","3.06%"
"2023- 06- 26","406.32","424.61","427.64","401.00","58.90M","-3.74%"
"2023- 06- 23","422.09","424.64","428.09","420.15","35.81M","-1.90%"
"2023- 06- 22","430.25","422.53","434.26","422.34","40.81M","-0.05%"
"2023- 06- 21","430.45","435.01","436.15","420.80","55.16M","-1.74%"
"2023- 06- 20","438.08","429.98","439.90","426.74","44.80M","2.61%"
"2023- 06- 16","426.92","434.50","437.21","426.61","65.57M","0.09%"
"2023- 06- 15","426.53","426.02","432.89","421.47","56.67M","-0.80%"
"2023- 06- 14","429.97","408.24","430.00","405.52","72.94M","4.81%"
"2023- 06- 13","410.22","401.86","411.01","397.40","60.77M","3.90%"
"2023- 06- 12","394.82","392.00","395.30","386.18","38.44M","1.84%"
"2023- 06- 09","387.70","390.37","397.11","385.67","42.77M","0.68%"
"2023- 06- 08","385.10","377.24","388.64","375.05","41.78M","2.76%"
"2023- 06- 07","374.75","389.15","394.99","373.56","51.20M","-3.05%"
"2023- 06- 06","386.54","388.30","391.60","381.48","37.99M","-1.32%"
"2023- 06- 05","391.71","389.09","395.65","387.07","39.38M","-0.40%"
"2023- 06- 02","393.27","400.97","405.00","390.58","48.27M","-1.11%"
"2023- 06- 01","397.70","384.89","400.50","383.40","62.37M","5.12%"
"2023- 05- 31","378.34","394.88","402.95","378.22","99.88M","-5.68%"
"2023- 05- 30","401.11","405.95","419.38","399.49","91.42M","2.99%"
"2023- 05- 26","389.46","378.90","391.70","375.50","71.44M","2.54%"
"2023- 05- 25","379.80","385.23","394.80","366.35","153.46M","24.37%"
"2023- 05- 24","305.38","302.10","306.07","298.06","55.28M","-0.49%"
"2023- 05- 23","306.88","310.00","312.88","306.31","35.47M","-1.57%"
"2023- 05- 22","311.76","309.01","315.20","306.80","36.97M","-0.28%"
"2023- 05- 19","312.64","315.36","315.80","309.16","47.39M","-1.31%"
"2023- 05- 18","316.78","304.10","318.28","303.20","73.89M","4.97%"
"2023- 05- 17","301.78","295.84","301.99","294.30","43.25M","3.30%"
"2023- 05- 16","292.13","288.41","298.70","288.32","44.94M","0.90%"
"2023- 05- 15","289.53","285.08","289.69","281.52","29.30M","2.16%"
"2023- 05- 12","283.40","285.29","287.80","280.46","27.42M","-0.83%"
"2023- 05- 11","285.78","288.96","289.50","282.46","32.21M","-1.06%"
"2023- 05- 10","288.85","290.05","291.13","284.61","36.94M","1.10%"
"2023- 05- 09","285.71","288.99","289.73","284.50","31.49M","-1.99%"
"2023- 05- 08","291.51","285.22","292.20","283.50","34.50M","1.64%"
"2023- 05- 05","286.80","278.26","287.55","277.31","36.15M","4.06%"
"2023- 05- 04","275.62","276.51","278.59","272.40","31.94M","-0.86%"
"2023- 05- 03","278.02","278.40","283.67","274.72","38.10M","-1.45%"
