"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 18","30,573.93","30,432.54","30,667.13","30,381.90","904.86M","1.60%"
"2023- 05- 17","30,093.59","29,912.44","30,115.32","29,912.44","930.84M","0.84%"
"2023- 05- 16","29,842.99","29,838.01","29,916.56","29,779.07","1.07B","0.73%"
"2023- 05- 15","29,626.34","29,547.04","29,629.47","29,475.97","885.87M","0.81%"
"2023- 05- 12","29,388.30","29,199.30","29,426.06","29,141.52","1.06B","0.90%"
"2023- 05- 11","29,126.72","29,110.79","29,165.59","29,028.71","822.07M","0.02%"
"2023- 05- 10","29,122.18","29,189.41","29,195.16","29,070.11","872.76M","-0.41%"
"2023- 05- 09","29,242.82","29,020.63","29,262.36","29,020.63","863.91M","1.01%"
"2023- 05- 08","28,949.88","29,095.46","29,144.12","28,931.81","741.49M","-0.71%"
"2023- 05- 02","29,157.95","29,278.80","29,278.80","29,083.13","639.10M","0.12%"
"2023- 05- 01","29,123.18","29,058.05","29,145.89","29,016.83","733.68M","0.92%"
"2023- 04- 28","28,856.44","28,705.91","28,879.24","28,499.51","1.04B","1.40%"
"2023- 04- 27","28,457.68","28,340.59","28,459.73","28,241.67","735.56M","0.15%"
"2023- 04- 26","28,416.47","28,478.52","28,551.61","28,319.77","687.06M","-0.71%"
"2023- 04- 25","28,620.07","28,697.73","28,806.69","28,609.77","593.28M","0.09%"
"2023- 04- 24","28,593.52","28,631.78","28,680.65","28,567.24","499.53M","0.10%"
"2023- 04- 21","28,564.37","28,590.55","28,778.37","28,527.80","613.66M","-0.33%"
"2023- 04- 20","28,657.57","28,472.00","28,694.25","28,442.45","567.42M","0.18%"
"2023- 04- 19","28,606.76","28,619.84","28,677.22","28,531.54","580.25M","-0.18%"
"2023- 04- 18","28,658.83","28,567.54","28,698.22","28,520.76","622.73M","0.51%"
"2023- 04- 17","28,514.78","28,537.99","28,599.75","28,414.98","580.06M","0.07%"
"2023- 04- 14","28,493.47","28,321.54","28,515.51","28,282.82","728.95M","1.20%"
"2023- 04- 13","28,156.97","27,952.58","28,163.87","27,952.01","598.59M","0.26%"
"2023- 04- 12","28,082.70","27,985.93","28,121.46","27,983.97","626.84M","0.57%"
"2023- 04- 11","27,923.37","27,895.90","28,068.39","27,854.82","648.42M","1.05%"
"2023- 04- 10","27,633.66","27,658.52","27,737.49","27,597.18","480.31M","0.42%"
"2023- 04- 07","27,518.31","27,554.37","27,591.15","27,456.25","491.04M","0.17%"
"2023- 04- 06","27,472.63","27,589.14","27,609.86","27,427.66","732.03M","-1.22%"
"2023- 04- 05","27,813.26","28,111.04","28,133.57","27,788.77","743.26M","-1.68%"
"2023- 04- 04","28,287.42","28,213.93","28,287.42","28,139.12","732.69M","0.35%"
"2023- 04- 03","28,188.15","28,203.35","28,258.91","28,120.71","750.40M","0.52%"
"2023- 03- 31","28,041.48","28,009.22","28,124.62","27,986.62","911.49M","0.93%"
"2023- 03- 30","27,782.93","27,827.89","27,876.38","27,630.55","820.32M","-0.36%"
"2023- 03- 29","27,883.78","27,549.37","27,897.72","27,505.48","838.24M","1.33%"
"2023- 03- 28","27,518.25","27,573.82","27,603.45","27,432.76","663.56M","0.15%"
"2023- 03- 27","27,476.87","27,482.39","27,543.48","27,359.72","573.98M","0.33%"
"2023- 03- 24","27,385.25","27,368.62","27,397.29","27,257.44","595.48M","-0.13%"
"2023- 03- 23","27,419.61","27,232.97","27,461.97","27,175.63","641.30M","-0.17%"
"2023- 03- 22","27,466.61","27,298.15","27,520.97","27,267.26","780.72M","1.93%"
"2023- 03- 20","26,945.67","27,253.73","27,367.18","26,945.67","791.91M","-1.42%"
"2023- 03- 17","27,333.79","27,232.23","27,356.15","27,071.71","1.01B","1.20%"
"2023- 03- 16","27,010.61","26,796.67","27,057.54","26,632.92","1.07B","-0.80%"
"2023- 03- 15","27,229.48","27,421.66","27,424.94","27,105.99","866.16M","0.03%"
"2023- 03- 14","27,222.04","27,455.95","27,455.95","27,104.75","1.26B","-2.19%"
"2023- 03- 13","27,832.96","27,886.21","27,906.97","27,631.53","960.57M","-1.11%"
"2023- 03- 10","28,143.97","28,385.29","28,424.24","28,118.74","1.11B","-1.67%"
"2023- 03- 09","28,623.15","28,648.11","28,734.79","28,558.88","723.04M","0.63%"
"2023- 03- 08","28,444.19","28,237.21","28,469.41","28,232.68","672.15M","0.48%"
"2023- 03- 07","28,309.16","28,202.59","28,398.27","28,202.59","697.95M","0.25%"
"2023- 03- 06","28,237.78","28,182.31","28,288.62","28,153.82","657.29M","1.11%"
"2023- 03- 03","27,927.47","27,683.26","27,961.21","27,655.34","782.02M","1.56%"
"2023- 03- 02","27,498.87","27,564.82","27,617.80","27,408.54","692.86M","-0.06%"
"2023- 03- 01","27,516.53","27,363.57","27,530.76","27,305.37","697.91M","0.26%"
"2023- 02- 28","27,445.56","27,515.34","27,585.17","27,400.36","862.86M","0.08%"
"2023- 02- 27","27,423.96","27,322.73","27,456.22","27,292.74","593.99M","-0.11%"
"2023- 02- 24","27,453.48","27,144.72","27,465.90","27,128.32","759.91M","1.29%"
"2023- 02- 22","27,104.32","27,265.99","27,300.53","27,046.08","747.11M","-1.34%"
"2023- 02- 21","27,473.10","27,486.09","27,538.29","27,359.12","616.28M","-0.21%"
"2023- 02- 20","27,531.94","27,497.13","27,531.94","27,426.48","624.72M","0.07%"
"2023- 02- 17","27,513.13","27,484.60","27,608.59","27,466.61","687.91M","-0.66%"
"2023- 02- 16","27,696.44","27,654.72","27,727.66","27,597.12","681.19M","0.71%"
"2023- 02- 15","27,501.86","27,686.01","27,720.27","27,444.13","721.04M","-0.37%"
"2023- 02- 14","27,602.77","27,705.37","27,721.82","27,553.18","558.17M","0.64%"
"2023- 02- 13","27,427.32","27,550.35","27,570.32","27,266.94","704.42M","-0.88%"
"2023- 02- 10","27,670.98","27,711.25","27,814.02","27,609.33","888.23M","0.31%"
"2023- 02- 09","27,584.35","27,453.40","27,635.38","27,424.69","616.89M","-0.08%"
"2023- 02- 08","27,606.46","27,690.74","27,719.45","27,458.53","689.68M","-0.29%"
"2023- 02- 07","27,685.47","27,744.90","27,814.96","27,662.11","742.62M","-0.03%"
"2023- 02- 06","27,693.65","27,764.66","27,821.22","27,656.47","884.29M","0.67%"
"2023- 02- 03","27,509.46","27,455.03","27,612.57","27,445.69","927.98M","0.39%"
"2023- 02- 02","27,402.05","27,453.67","27,472.44","27,338.43","732.46M","0.20%"
"2023- 02- 01","27,346.88","27,483.41","27,547.67","27,322.79","658.49M","0.07%"
"2023- 01- 31","27,327.11","27,458.56","27,494.17","27,302.22","745.97M","-0.39%"
"2023- 01- 30","27,433.40","27,384.77","27,486.42","27,337.25","657.64M","0.19%"
"2023- 01- 27","27,382.56","27,428.41","27,452.67","27,326.91","715.00M","0.07%"
"2023- 01- 26","27,362.75","27,444.64","27,502.15","27,284.08","632.73M","-0.12%"
"2023- 01- 25","27,395.01","27,175.88","27,473.90","27,175.88","633.61M","0.35%"
"2023- 01- 24","27,299.19","27,150.43","27,381.00","27,150.43","707.67M","1.46%"
"2023- 01- 23","26,906.04","26,880.21","26,938.28","26,788.76","601.86M","1.33%"
"2023- 01- 20","26,553.53","26,346.69","26,553.53","26,320.96","604.42M","0.56%"
"2023- 01- 19","26,405.23","26,541.08","26,592.87","26,368.97","687.23M","-1.44%"
"2023- 01- 18","26,791.12","26,251.34","26,816.68","26,211.84","933.67M","2.50%"
"2023- 01- 17","26,138.68","25,915.51","26,198.69","25,895.30","680.69M","1.23%"
"2023- 01- 16","25,822.32","25,836.67","25,938.04","25,748.10","716.69M","-1.14%"
"2023- 01- 13","26,119.52","26,391.78","26,409.21","26,090.84","982.97M","-1.25%"
"2023- 01- 12","26,449.82","26,524.94","26,547.61","26,381.93","770.27M","0.01%"
"2023- 01- 11","26,446.00","26,362.21","26,479.99","26,332.05","623.58M","1.03%"
"2023- 01- 10","26,175.56","26,176.61","26,316.66","26,132.80","712.46M","0.78%"
"2023- 01- 06","25,973.85","25,740.08","26,034.06","25,719.61","681.53M","0.59%"
"2023- 01- 05","25,820.80","25,825.50","25,947.10","25,750.46","723.09M","0.40%"
"2023- 01- 04","25,716.86","25,834.93","25,840.68","25,661.89","833.30M","-1.45%"
