"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 25","432.23","429.17","432.27","428.72","69.87M","0.42%"
"2023- 09- 22","430.42","432.45","434.10","429.99","100.83M","-0.22%"
"2023- 09- 21","431.39","435.70","435.97","431.23","103.39M","-1.65%"
"2023- 09- 20","438.64","444.01","444.43","438.43","81.01M","-0.92%"
"2023- 09- 19","442.71","442.68","443.29","439.94","64.59M","-0.21%"
"2023- 09- 18","443.63","443.05","444.97","442.56","55.45M","0.06%"
"2023- 09- 15","443.37","447.14","447.48","442.92","111.85M","-1.55%"
"2023- 09- 14","450.36","449.07","451.08","447.71","82.08M","0.86%"
"2023- 09- 13","446.51","446.22","447.71","445.08","59.88M","0.12%"
"2023- 09- 12","445.99","446.95","448.53","445.39","66.93M","-0.55%"
"2023- 09- 11","448.45","448.24","448.77","446.47","59.91M","0.66%"
"2023- 09- 08","445.52","444.90","447.11","444.53","62.07M","0.15%"
"2023- 09- 07","444.85","443.11","445.55","442.75","69.79M","-0.31%"
"2023- 09- 06","446.22","448.40","448.51","443.81","70.00M","-0.67%"
"2023- 09- 05","449.24","450.73","451.06","449.17","54.78M","-0.43%"
"2023- 09- 01","451.19","453.17","453.67","449.68","58.94M","0.19%"
"2023- 08- 31","450.35","451.65","452.83","450.16","65.48M","-0.15%"
"2023- 08- 30","451.01","449.51","451.67","448.78","67.35M","0.41%"
"2023- 08- 29","449.16","442.65","449.45","442.46","82.61M","1.45%"
"2023- 08- 28","442.76","442.24","443.40","439.97","59.71M","0.63%"
"2023- 08- 25","439.97","438.68","441.30","435.00","102.33M","0.70%"
"2023- 08- 24","436.89","444.69","445.22","436.86","88.06M","-1.39%"
"2023- 08- 23","443.03","439.25","443.67","439.10","67.16M","1.11%"
"2023- 08- 22","438.15","441.18","441.18","437.57","64.46M","-0.27%"
"2023- 08- 21","439.34","437.55","440.11","435.32","68.38M","0.65%"
"2023- 08- 18","436.50","433.37","437.57","433.01","98.85M","0.05%"
"2023- 08- 17","436.29","441.16","441.43","435.75","94.79M","-0.76%"
"2023- 08- 16","439.64","442.46","444.18","439.53","78.69M","-0.73%"
"2023- 08- 15","442.89","446.27","446.64","442.30","75.00M","-1.16%"
"2023- 08- 14","448.11","444.70","448.11","444.38","47.47M","0.55%"
"2023- 08- 11","445.65","443.97","446.70","443.35","68.69M","-0.06%"
"2023- 08- 10","445.91","448.19","451.70","444.70","92.71M","0.04%"
"2023- 08- 09","445.75","449.03","449.20","444.96","77.47M","-0.67%"
"2023- 08- 08","448.75","448.08","450.70","445.27","71.36M","-0.43%"
"2023- 08- 07","450.71","448.71","450.86","447.99","58.36M","0.87%"
"2023- 08- 04","446.81","450.72","452.89","446.27","100.13M","-0.45%"
"2023- 08- 03","448.84","448.04","450.79","447.37","63.13M","-0.29%"
"2023- 08- 02","450.13","453.25","453.52","449.35","92.85M","-1.39%"
"2023- 08- 01","456.48","456.27","457.25","455.49","53.56M","-0.29%"
"2023- 07- 31","457.79","457.41","458.16","456.05","61.35M","0.19%"
"2023- 07- 28","456.92","455.88","457.78","452.49","80.01M","0.98%"
"2023- 07- 27","452.49","459.02","459.44","451.55","91.76M","-0.66%"
"2023- 07- 26","455.51","454.47","456.99","453.38","69.88M","0.02%"
"2023- 07- 25","455.44","453.92","456.73","453.87","54.60M","0.27%"
"2023- 07- 24","454.20","453.37","455.04","452.30","53.79M","0.45%"
"2023- 07- 21","452.18","453.96","454.17","452.17","71.28M","0.00%"
"2023- 07- 20","452.18","454.17","455.10","451.44","70.59M","-0.66%"
"2023- 07- 19","455.20","455.01","456.43","454.11","65.89M","0.22%"
"2023- 07- 18","454.19","450.50","454.86","450.05","79.44M","0.74%"
"2023- 07- 17","450.84","449.13","451.93","449.08","52.32M","0.35%"
"2023- 07- 14","449.28","450.48","451.36","448.49","69.82M","-0.06%"
"2023- 07- 13","449.56","447.90","450.38","447.45","71.70M","0.79%"
"2023- 07- 12","446.02","446.39","447.48","444.91","91.46M","0.80%"
"2023- 07- 11","442.46","440.45","442.97","439.44","64.12M","0.64%"
"2023- 07- 10","439.66","438.18","439.84","437.58","61.83M","0.25%"
"2023- 07- 07","438.55","438.63","442.64","438.30","86.13M","-0.25%"
"2023- 07- 06","439.66","439.42","440.10","437.06","80.36M","-0.78%"
"2023- 07- 05","443.13","441.91","443.89","441.90","58.42M","-0.15%"
"2023- 07- 03","443.79","442.87","444.07","442.65","32.79M","0.12%"
"2023- 06- 30","443.28","441.44","444.30","441.11","104.96M","1.18%"
"2023- 06- 29","438.11","435.96","438.28","435.54","67.88M","0.39%"
"2023- 06- 28","436.39","435.05","453.46","434.41","75.18M","0.05%"
"2023- 06- 27","436.17","432.35","436.81","431.88","71.51M","1.10%"
"2023- 06- 26","431.44","432.62","434.61","431.19","72.41M","-0.41%"
"2023- 06- 23","433.21","432.93","435.06","432.47","92.07M","-0.76%"
"2023- 06- 22","436.51","433.95","436.62","433.60","70.02M","0.36%"
"2023- 06- 21","434.94","436.16","436.99","434.33","76.51M","-0.51%"
"2023- 06- 20","437.18","437.45","438.37","435.03","74.81M","-0.52%"
"2023- 06- 16","439.46","443.02","443.61","438.97","114.17M","-0.71%"
"2023- 06- 15","442.60","436.33","443.90","436.23","108.84M","1.24%"
"2023- 06- 14","437.18","437.01","439.06","433.59","100.61M","0.12%"
"2023- 06- 13","436.66","435.32","437.33","434.63","94.82M","0.66%"
"2023- 06- 12","433.80","430.92","433.88","430.17","75.68M","0.91%"
"2023- 06- 09","429.90","429.96","431.99","428.87","85.65M","0.18%"
"2023- 06- 08","429.13","426.62","429.60","425.82","61.24M","0.60%"
"2023- 06- 07","426.55","428.44","429.62","426.11","85.37M","-0.35%"
"2023- 06- 06","428.03","426.67","428.58","425.99","63.26M","0.22%"
"2023- 06- 05","427.10","428.28","429.62","426.37","65.05M","-0.19%"
"2023- 06- 02","427.92","424.50","428.74","423.95","91.43M","1.45%"
"2023- 06- 01","421.82","418.09","422.92","416.79","88.56M","0.95%"
"2023- 05- 31","417.85","418.28","419.22","416.22","107.48M","-0.55%"
"2023- 05- 30","420.18","422.03","422.58","418.73","71.40M","0.04%"
"2023- 05- 26","420.02","415.33","420.77","415.25","93.83M","1.30%"
"2023- 05- 25","414.65","414.74","416.16","412.41","90.01M","0.87%"
"2023- 05- 24","411.09","412.42","412.82","409.88","87.50M","-0.72%"
"2023- 05- 23","414.09","417.08","418.72","413.68","86.38M","-1.12%"
"2023- 05- 22","418.79","418.64","420.39","417.35","60.75M","0.04%"
"2023- 05- 19","418.62","420.17","420.72","417.35","103.79M","-0.15%"
"2023- 05- 18","419.23","414.90","419.67","414.67","97.18M","0.96%"
"2023- 05- 17","415.23","412.35","415.86","410.64","87.29M","1.21%"
"2023- 05- 16","410.25","411.86","412.82","410.24","57.71M","-0.67%"
"2023- 05- 15","413.01","412.22","413.43","410.23","54.29M","0.35%"
"2023- 05- 12","411.59","413.42","413.64","409.07","70.48M","-0.13%"
"2023- 05- 11","412.13","411.95","412.43","409.97","70.16M","-0.17%"
"2023- 05- 10","412.85","413.88","414.54","408.87","96.14M","0.47%"
"2023- 05- 09","410.93","411.13","412.09","410.69","49.22M","-0.44%"
"2023- 05- 08","412.74","412.97","413.24","411.28","50.05M","0.03%"
"2023- 05- 05","412.63","408.91","413.72","408.64","87.89M","1.85%"
"2023- 05- 04","405.13","406.93","407.27","403.74","94.90M","-0.71%"
"2023- 05- 03","408.02","411.36","413.87","407.77","91.53M","-0.69%"
"2023- 05- 02","410.84","414.77","414.82","407.82","104.00M","-1.12%"
"2023- 05- 01","415.51","415.47","417.62","415.27","62.12M","-0.10%"
"2023- 04- 28","415.93","411.49","415.94","411.43","89.43M","0.85%"
"2023- 04- 27","412.41","407.00","412.69","406.74","92.97M","1.99%"
"2023- 04- 26","404.36","406.72","407.84","403.78","80.45M","-0.42%"
"2023- 04- 25","406.08","410.58","411.16","406.02","97.77M","-1.59%"
"2023- 04- 24","412.63","411.99","413.07","410.60","64.33M","0.10%"
"2023- 04- 21","412.20","412.19","412.68","410.17","73.46M","0.08%"
"2023- 04- 20","411.88","411.21","413.70","410.27","75.84M","-0.55%"
"2023- 04- 19","414.14","412.22","415.08","412.16","55.23M","-0.02%"
"2023- 04- 18","414.21","415.58","415.72","412.78","63.56M","0.07%"
"2023- 04- 17","413.94","412.37","413.96","411.08","66.44M","0.36%"
"2023- 04- 14","412.46","412.81","415.09","410.06","78.16M","-0.24%"
"2023- 04- 13","413.47","409.18","413.84","407.99","85.81M","1.33%"
"2023- 04- 12","408.05","411.87","412.17","407.44","86.42M","-0.41%"
"2023- 04- 11","409.72","410.26","411.18","408.92","59.30M","0.03%"
"2023- 04- 10","409.61","406.61","409.69","405.97","63.68M","0.10%"
"2023- 04- 06","409.19","406.77","409.48","405.68","63.74M","0.39%"
"2023- 04- 05","407.60","407.91","408.70","405.88","65.20M","-0.26%"
"2023- 04- 04","408.67","411.62","411.92","407.24","66.60M","-0.55%"
"2023- 04- 03","410.95","408.85","411.37","408.44","67.39M","0.38%"
"2023- 03- 31","409.39","404.66","409.70","404.55","112.06M","1.41%"
"2023- 03- 30","403.70","404.09","404.35","401.76","69.84M","0.59%"
"2023- 03- 29","401.35","399.92","401.60","398.68","77.50M","1.45%"
"2023- 03- 28","395.60","395.77","396.49","393.69","62.87M","-0.22%"
"2023- 03- 27","396.49","398.12","398.92","395.56","74.01M","0.19%"
"2023- 03- 24","395.75","391.84","395.84","389.40","107.77M","0.66%"
"2023- 03- 23","393.17","395.09","399.29","390.35","119.35M","0.27%"
"2023- 03- 22","392.11","398.73","402.49","392.07","111.75M","-1.70%"
"2023- 03- 21","398.91","397.24","399.41","395.58","91.52M","1.31%"
"2023- 03- 20","393.74","390.80","394.17","390.07","93.06M","0.96%"
"2023- 03- 17","389.99","393.22","394.40","388.55","140.55M","-1.55%"
"2023- 03- 16","396.11","386.82","396.47","386.29","143.75M","1.75%"
"2023- 03- 15","389.28","385.89","389.49","383.71","173.00M","-0.63%"
"2023- 03- 14","391.73","390.50","393.45","387.05","149.75M","1.65%"
"2023- 03- 13","385.36","381.81","390.39","380.65","157.79M","-0.14%"
"2023- 03- 10","385.91","390.99","393.16","384.32","189.25M","-1.44%"
"2023- 03- 09","391.56","399.74","401.48","390.53","111.95M","-1.84%"
"2023- 03- 08","398.92","398.39","399.71","396.59","74.75M","0.16%"
"2023- 03- 07","398.27","404.42","404.67","397.63","108.31M","-1.53%"
"2023- 03- 06","404.47","405.05","407.45","404.01","72.80M","0.07%"
"2023- 03- 03","404.19","399.71","404.45","399.03","90.12M","1.60%"
"2023- 03- 02","397.81","392.68","398.69","392.33","85.40M","0.78%"
"2023- 03- 01","394.74","395.41","396.69","393.38","99.71M","-0.38%"
"2023- 02- 28","396.26","397.23","399.28","396.15","96.44M","-0.37%"
"2023- 02- 27","397.73","399.87","401.29","396.75","80.44M","0.34%"
"2023- 02- 24","396.38","395.42","397.25","393.64","108.19M","-1.07%"
"2023- 02- 23","400.66","401.56","402.20","396.25","96.24M","0.53%"
"2023- 02- 22","398.54","399.52","401.13","397.02","83.74M","-0.14%"
"2023- 02- 21","399.09","403.06","404.16","398.82","82.66M","-2.01%"
"2023- 02- 17","407.26","406.06","407.51","404.05","89.26M","-0.25%"
"2023- 02- 16","408.28","408.79","412.91","408.14","76.43M","-1.38%"
"2023- 02- 15","413.98","410.35","414.06","409.47","61.69M","0.32%"
"2023- 02- 14","412.64","411.24","415.05","408.51","88.39M","-0.05%"
"2023- 02- 13","412.83","408.72","412.97","408.24","64.91M","1.17%"
