"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 27","60.50","59.81","60.67","59.62","3.12M","0.65%"
"2023- 01- 26","60.11","57.88","60.17","57.49","4.69M","3.10%"
"2023- 01- 25","58.30","58.95","58.95","55.90","8.21M","-5.85%"
"2023- 01- 24","61.92","62.42","62.51","61.76","3.36M","-0.64%"
"2023- 01- 23","62.32","61.91","62.79","61.53","2.23M","0.42%"
"2023- 01- 20","62.06","61.00","62.12","60.64","2.77M","1.74%"
"2023- 01- 19","61.00","62.17","62.52","60.95","1.62M","-2.87%"
"2023- 01- 18","62.80","63.45","63.90","62.71","3.29M","-0.90%"
"2023- 01- 17","63.37","63.15","63.72","62.84","2.91M","0.03%"
"2023- 01- 13","63.35","62.42","63.67","62.31","2.88M","0.57%"
"2023- 01- 12","62.99","63.16","63.25","62.18","2.56M","-0.05%"
"2023- 01- 11","63.02","62.73","63.34","62.73","2.45M","0.77%"
"2023- 01- 10","62.54","62.48","63.08","62.23","1.29M","-0.11%"
"2023- 01- 09","62.61","61.93","63.21","61.76","2.47M","1.56%"
"2023- 01- 06","61.65","60.90","61.81","60.51","1.54M","2.34%"
"2023- 01- 05","60.24","61.22","61.37","60.12","1.72M","-2.29%"
"2023- 01- 04","61.65","62.23","62.66","61.37","2.09M","-0.18%"
"2023- 01- 03","61.76","61.53","61.86","61.05","1.60M","0.67%"
