COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nasdaq,2023-05-24,12484.16,-0.61,-1
nasdaq,2023-05-23,12560.25,-1.26,-1
nasdaq,2023-05-22,12720.78,0.5,1
nasdaq,2023-05-19,12657.9,-0.24,-1
nasdaq,2023-05-18,12688.84,1.51,1
nasdaq,2023-05-17,12500.57,1.28,1
nasdaq,2023-05-16,12343.05,-0.18,-1
nasdaq,2023-05-15,12365.21,0.66,1
nasdaq,2023-05-12,12284.74,-0.36,-1
nasdaq,2023-05-11,12328.51,0.18,1
nasdaq,2023-05-10,12306.44,1.04,1
nasdaq,2023-05-09,12179.55,-0.63,-1
nasdaq,2023-05-08,12256.92,0.18,1
nasdaq,2023-05-05,12235.41,2.25,1
nasdaq,2023-05-04,11966.4,-0.49,-1
nasdaq,2023-05-03,12025.33,-0.46,-1
nasdaq,2023-05-02,12080.51,-1.08,-1
nasdaq,2023-05-01,12212.6,-0.11,-1
nasdaq,2023-04-28,12226.58,0.69,1
nasdaq,2023-04-27,12142.24,2.43,1
nasdaq,2023-04-26,11854.35,0.47,1
nasdaq,2023-04-25,11799.16,-1.98,-1
nasdaq,2023-04-24,12037.2,-0.29,-1
nasdaq,2023-04-21,12072.46,0.11,1
nasdaq,2023-04-20,12059.56,-0.8,-1
nasdaq,2023-04-19,12157.23,0.03,1
nasdaq,2023-04-18,12153.41,-0.04,-1
nasdaq,2023-04-17,12157.72,0.28,1
nasdaq,2023-04-14,12123.47,-0.35,-1
nasdaq,2023-04-13,12166.27,1.99,1
nasdaq,2023-04-12,11929.34,-0.85,-1
nasdaq,2023-04-11,12031.88,-0.43,-1
nasdaq,2023-04-10,12084.35,-0.03,-1
nasdaq,2023-04-06,12087.96,0.76,1
nasdaq,2023-04-05,11996.86,-1.07,-1
nasdaq,2023-04-04,12126.33,-0.52,-1
nasdaq,2023-04-03,12189.45,-0.27,-1
nasdaq,2023-03-31,12221.91,1.74,1
nasdaq,2023-03-30,12013.47,0.73,1
nasdaq,2023-03-29,11926.24,1.79,1
nasdaq,2023-03-28,11716.08,-0.45,-1
nasdaq,2023-03-27,11768.84,-0.47,-1
nasdaq,2023-03-24,11823.96,0.31,1
nasdaq,2023-03-23,11787.4,1.01,1
nasdaq,2023-03-22,11669.96,-1.6,-1
nasdaq,2023-03-21,11860.11,1.58,1
nasdaq,2023-03-20,11675.54,0.39,1
nasdaq,2023-03-17,11630.51,-0.74,-1
nasdaq,2023-03-16,11717.28,2.48,1
nasdaq,2023-03-15,11434.05,0.05,1
nasdaq,2023-03-14,11428.15,2.14,1
