COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
disney,2023-05-30,87.82,-0.53,-1
disney,2023-05-26,88.29,0.17,1
disney,2023-05-25,88.14,-1.04,-1
disney,2023-05-24,89.07,-0.84,-1
disney,2023-05-23,89.82,-2.18,-1
disney,2023-05-22,91.82,0.51,1
disney,2023-05-19,91.35,-2.57,-1
disney,2023-05-18,93.76,1.07,1
disney,2023-05-17,92.77,1.97,1
disney,2023-05-16,90.98,-2.02,-1
disney,2023-05-15,92.86,0.95,1
disney,2023-05-12,91.99,-0.35,-1
disney,2023-05-11,92.31,-8.73,-1
disney,2023-05-10,101.14,-1.02,-1
disney,2023-05-09,102.18,-0.77,-1
disney,2023-05-08,102.97,2.44,1
disney,2023-05-05,100.52,3.15,1
disney,2023-05-04,97.45,-3.38,-1
disney,2023-05-03,100.86,0.26,1
disney,2023-05-02,100.6,-1.58,-1
disney,2023-05-01,102.21,-0.28,-1
disney,2023-04-28,102.5,2.57,1
disney,2023-04-27,99.93,3.44,1
disney,2023-04-26,96.61,-1.43,-1
disney,2023-04-25,98.01,-1.68,-1
disney,2023-04-24,99.68,0.11,1
disney,2023-04-21,99.57,1.53,1
disney,2023-04-20,98.07,-0.69,-1
disney,2023-04-19,98.75,-2.16,-1
disney,2023-04-18,100.93,0.63,1
disney,2023-04-17,100.3,0.4,1
disney,2023-04-14,99.9,-0.93,-1
disney,2023-04-13,100.84,2.96,1
disney,2023-04-12,97.94,-2.47,-1
disney,2023-04-11,100.42,-0.39,-1
disney,2023-04-10,100.81,0.84,1
disney,2023-04-06,99.97,0.06,1
disney,2023-04-05,99.91,0.34,1
disney,2023-04-04,99.57,-0.19,-1
disney,2023-04-03,99.76,-0.37,-1
disney,2023-03-31,100.13,2.07,1
disney,2023-03-30,98.1,1.27,1
disney,2023-03-29,96.87,2.16,1
disney,2023-03-28,94.82,-0.84,-1
disney,2023-03-27,95.62,1.64,1
disney,2023-03-24,94.08,-1.83,-1
disney,2023-03-23,95.83,0.98,1
disney,2023-03-22,94.9,-1.7,-1
disney,2023-03-21,96.54,2.46,1
disney,2023-03-20,94.22,1.09,1
disney,2023-03-17,93.2,-1.16,-1
disney,2023-03-16,94.29,1.28,1
disney,2023-03-15,93.1,-0.28,-1
disney,2023-03-14,93.36,0.82,1
disney,2023-03-13,92.6,-1.04,-1
disney,2023-03-10,93.57,-2.67,-1
disney,2023-03-09,96.14,-3.18,-1
disney,2023-03-08,99.3,0.24,1
disney,2023-03-07,99.06,-1.59,-1
disney,2023-03-06,100.66,-0.47,-1
disney,2023-03-03,101.14,2.24,1
disney,2023-03-02,98.92,0.39,1
disney,2023-03-01,98.54,-1.07,-1
disney,2023-02-28,99.61,-0.84,-1
disney,2023-02-27,100.45,0.15,1
disney,2023-02-24,100.3,-1.41,-1
disney,2023-02-23,101.73,0.05,1
disney,2023-02-22,101.68,-0.4,-1
disney,2023-02-21,102.09,-2.97,-1
disney,2023-02-17,105.22,-0.58,-1
disney,2023-02-16,105.83,-3.12,-1
disney,2023-02-15,109.24,1.47,1
disney,2023-02-14,107.66,0.0,0
disney,2023-02-13,107.66,-0.37,-1
disney,2023-02-10,108.06,-2.08,-1
disney,2023-02-09,110.36,-1.27,-1
disney,2023-02-08,111.78,0.13,1
disney,2023-02-07,111.63,1.6,1
disney,2023-02-06,109.87,-0.76,-1
disney,2023-02-03,110.71,-2.21,-1
disney,2023-02-02,113.21,3.49,1
disney,2023-02-01,109.39,0.83,1
disney,2023-01-31,108.49,0.84,1
disney,2023-01-30,107.59,-1.78,-1
disney,2023-01-27,109.54,-0.15,-1
disney,2023-01-26,109.7,1.46,1
disney,2023-01-25,108.12,2.0,1
disney,2023-01-24,106.0,0.29,1
disney,2023-01-23,105.69,2.14,1
disney,2023-01-20,103.48,4.44,1
disney,2023-01-19,99.08,0.04,1
disney,2023-01-18,99.04,-0.87,-1
disney,2023-01-17,99.91,0.51,1
disney,2023-01-13,99.4,-0.41,-1
disney,2023-01-12,99.81,3.61,1
disney,2023-01-11,96.33,0.81,1
disney,2023-01-10,95.56,0.83,1
disney,2023-01-09,94.77,0.91,1
disney,2023-01-06,93.92,2.18,1
disney,2023-01-05,91.92,-0.07,-1
disney,2023-01-04,91.98,3.38,1
disney,2023-01-03,88.97,2.41,1
