COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
kospi,2023-01-13,1.75,0.89,1
kospi,2023-01-12,1.74,0.24,1
kospi,2023-01-11,1.73,0.35,1
kospi,2023-01-10,1.73,0.05,1
kospi,2023-01-09,1.73,2.63,1
kospi,2023-01-06,1.68,1.12,1
kospi,2023-01-05,1.66,0.38,1
kospi,2023-01-04,1.66,1.68,1
kospi,2023-01-03,1.63,-0.31,-1
kospi,2023-01-02,1.63,-0.48,-1
