COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nikkei,2023-03-27,175.92,0.33,1
nikkei,2023-03-24,175.33,-0.13,-1
nikkei,2023-03-23,175.55,-0.17,-1
nikkei,2023-03-22,175.85,1.93,1
nikkei,2023-03-20,172.52,-1.42,-1
nikkei,2023-03-17,175.0,1.2,1
nikkei,2023-03-16,172.93,-0.8,-1
nikkei,2023-03-15,174.33,0.03,1
nikkei,2023-03-14,174.28,-2.19,-1
nikkei,2023-03-13,178.2,-1.11,-1
nikkei,2023-03-10,180.19,-1.67,-1
nikkei,2023-03-09,183.25,0.63,1
nikkei,2023-03-08,182.11,0.48,1
nikkei,2023-03-07,181.24,0.25,1
nikkei,2023-03-06,180.79,1.11,1
nikkei,2023-03-03,178.8,1.56,1
nikkei,2023-03-02,176.06,-0.06,-1
nikkei,2023-03-01,176.17,0.26,1
nikkei,2023-02-28,175.72,0.08,1
nikkei,2023-02-27,175.58,-0.11,-1
nikkei,2023-02-24,175.77,1.29,1
nikkei,2023-02-22,173.53,-1.34,-1
nikkei,2023-02-21,175.89,-0.21,-1
nikkei,2023-02-20,176.27,0.07,1
nikkei,2023-02-17,176.15,-0.66,-1
nikkei,2023-02-16,177.32,0.71,1
nikkei,2023-02-15,176.08,-0.37,-1
nikkei,2023-02-14,176.72,0.64,1
nikkei,2023-02-13,175.6,-0.88,-1
nikkei,2023-02-10,177.16,0.31,1
nikkei,2023-02-09,176.6,-0.08,-1
nikkei,2023-02-08,176.75,-0.29,-1
nikkei,2023-02-07,177.25,-0.03,-1
nikkei,2023-02-06,177.3,0.67,1
nikkei,2023-02-03,176.12,0.39,1
nikkei,2023-02-02,175.44,0.2,1
nikkei,2023-02-01,175.08,0.07,1
nikkei,2023-01-31,174.96,-0.39,-1
nikkei,2023-01-30,175.64,0.19,1
nikkei,2023-01-27,175.31,0.07,1
nikkei,2023-01-26,175.19,-0.12,-1
nikkei,2023-01-25,175.39,0.35,1
nikkei,2023-01-24,174.78,1.46,1
nikkei,2023-01-23,172.26,1.33,1
nikkei,2023-01-20,170.0,0.56,1
nikkei,2023-01-19,169.05,-1.44,-1
nikkei,2023-01-18,171.53,2.5,1
nikkei,2023-01-17,167.35,1.23,1
nikkei,2023-01-16,165.32,-1.14,-1
nikkei,2023-01-13,167.23,-1.25,-1
nikkei,2023-01-12,169.34,0.01,1
nikkei,2023-01-11,169.32,1.03,1
nikkei,2023-01-10,167.58,0.78,1
nikkei,2023-01-06,166.29,0.59,1
nikkei,2023-01-05,165.31,0.4,1
nikkei,2023-01-04,164.65,-1.45,-1
