COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nvidia,2023-03-20,259.0,0.68,1
nvidia,2023-03-17,257.25,0.72,1
nvidia,2023-03-16,255.41,5.42,1
nvidia,2023-03-15,242.28,0.69,1
nvidia,2023-03-14,240.63,4.78,1
nvidia,2023-03-13,229.66,0.0,0
nvidia,2023-03-10,229.65,-2.01,-1
nvidia,2023-03-09,234.36,-3.08,-1
nvidia,2023-03-08,241.81,3.83,1
nvidia,2023-03-07,232.88,-1.13,-1
nvidia,2023-03-06,235.54,-1.41,-1
nvidia,2023-03-03,238.9,2.47,1
nvidia,2023-03-02,233.14,2.71,1
nvidia,2023-03-01,226.98,-2.23,-1
nvidia,2023-02-28,232.16,-1.21,-1
nvidia,2023-02-27,235.01,0.92,1
nvidia,2023-02-24,232.86,-1.6,-1
nvidia,2023-02-23,236.64,14.02,1
nvidia,2023-02-22,207.54,0.48,1
nvidia,2023-02-21,206.55,-3.43,-1
nvidia,2023-02-17,213.88,-2.79,-1
nvidia,2023-02-16,220.02,-3.35,-1
nvidia,2023-02-15,227.64,-0.9,-1
nvidia,2023-02-14,229.71,5.43,1
nvidia,2023-02-13,217.88,2.46,1
nvidia,2023-02-10,212.65,-4.8,-1
nvidia,2023-02-09,223.37,0.59,1
nvidia,2023-02-08,222.05,0.14,1
nvidia,2023-02-07,221.73,5.14,1
nvidia,2023-02-06,210.89,-0.05,-1
nvidia,2023-02-03,211.0,-2.81,-1
nvidia,2023-02-02,217.09,3.66,1
nvidia,2023-02-01,209.43,7.2,1
nvidia,2023-01-31,195.37,1.96,1
nvidia,2023-01-30,191.62,-5.91,-1
nvidia,2023-01-27,203.65,2.84,1
nvidia,2023-01-26,198.02,2.48,1
nvidia,2023-01-25,193.23,0.3,1
nvidia,2023-01-24,192.65,0.38,1
nvidia,2023-01-23,191.93,7.59,1
nvidia,2023-01-20,178.39,6.41,1
nvidia,2023-01-19,167.65,-3.52,-1
nvidia,2023-01-18,173.77,-1.84,-1
nvidia,2023-01-17,177.02,4.75,1
nvidia,2023-01-13,168.99,2.35,1
nvidia,2023-01-12,165.11,3.19,1
nvidia,2023-01-11,160.01,0.58,1
nvidia,2023-01-10,159.09,1.8,1
nvidia,2023-01-09,156.28,5.18,1
nvidia,2023-01-06,148.59,4.16,1
nvidia,2023-01-05,142.65,-3.28,-1
nvidia,2023-01-04,147.49,3.03,1
nvidia,2023-01-03,143.15,-2.05,-1
